,contract,exchange_time,underlying_index,forward_price,spot_price,usd_multiplier,mark_price,bid_price,ask_price,bid_size,ask_size,mark_iv,bid_iv,ask_iv,delta,vega,theta,gamma,open_interest,volume,mat_id,strike,optiontype,expiry,ttm,contract_size,interest_rate
54,540.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,7.206084346456974,7.72,8.23,1.0,1.0,,,,1.0,0.0,0.0,0.0,3518.0,960.0,18Jun2024,540.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
55,541.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,6.362864840890771,6.73,7.04,1.0,1.0,,,,1.0,0.0,0.0,0.0,4540.0,327.0,18Jun2024,541.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
56,542.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,5.519738561905279,6.04,6.16,1.0,1.0,,,,1.0,0.0,0.0,0.0,7101.0,543.0,18Jun2024,542.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
57,543.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,4.676705443607914,5.04,5.17,1.0,1.0,,,,1.0,0.0,0.0,0.0,6787.0,1575.0,18Jun2024,543.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
58,544.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,3.8337654220002104,4.04,4.18,1.0,1.0,,,,1.0,0.0,0.0,0.0,8061.0,8487.0,18Jun2024,544.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
59,545.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,2.9909184346581115,3.12,3.19,1.0,1.0,,,,1.0,0.0,0.0,0.0,6399.0,7782.0,18Jun2024,545.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
60,546.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,2.1481644203801027,2.17,2.23,1.0,1.0,,,,1.0,0.0,0.0,0.0,8511.0,20457.0,18Jun2024,546.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
61,547.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,1.305503318802662,1.29,1.32,1.0,1.0,,,,1.0,0.0,0.0,0.0,8303.0,130970.0,18Jun2024,547.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
62,548.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,0.6549925406040316,0.65,0.66,1.0,1.0,0.09171313142378419,0.09016750488321151,0.09325490216103875,0.7161154455727181,3.239185633974529,-1980.840095715568,0.386514901155684,18894.0,314242.0,18Jun2024,548.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
63,549.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,0.27500067660997474,0.27,0.28,1.0,1.0,0.12699332962713847,0.12556531549154415,0.12841824170233548,0.340681859404625,3.5052773162578377,-2942.9464240123934,0.30206708081734734,17707.0,191750.0,18Jun2024,549.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
64,550.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,0.10499985901195596,0.1,0.11,1.0,1.0,0.14781957789554678,0.1455024060736497,0.1500967447866008,0.14483981904835264,2.1771522207956138,-2124.1567089288733,0.1611828250105647,17712.0,218446.0,18Jun2024,550.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
65,551.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,0.04500053470359811,0.04,0.05,1.0,1.0,0.17079489904419196,0.16646309313626476,0.17488330383455278,0.06346854417402172,1.1898062808742955,-1340.3088630333987,0.07623655929416943,6757.0,122109.0,18Jun2024,551.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
66,552.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,0.02499476496063742,0.02,0.03,1.0,1.0,0.19900369167537663,0.19151403791981467,0.20566073910310392,0.033453194931370826,0.7117059680960894,-933.7762867421106,0.039138249810304664,5590.0,72235.0,18Jun2024,552.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
67,553.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,0.015009089383268724,0.01,0.02,1.0,1.0,0.22590504564362102,0.2131178193050017,0.23612129659934838,0.01906786538153329,0.44445654628137327,-661.8069668628686,0.02153105460270157,3418.0,37684.0,18Jun2024,553.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
68,554.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.25327989488088287,0.0,0.0,0.0,0.0,2391.0,7870.0,18Jun2024,554.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
69,555.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.2926128185602564,0.0,0.0,0.0,0.0,2998.0,5261.0,18Jun2024,555.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
70,556.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.33126237415953036,0.0,0.0,0.0,0.0,937.0,9813.0,18Jun2024,556.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
71,558.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.4068937425736816,0.0,0.0,0.0,0.0,596.0,215.0,18Jun2024,558.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
72,560.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.48072162834318005,0.0,0.0,0.0,0.0,1678.0,246.0,18Jun2024,560.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
73,562.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.5530812729706827,0.0,0.0,0.0,0.0,862.0,1.0,18Jun2024,562.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
74,564.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.6241979695391782,0.0,0.0,0.0,0.0,591.0,3.0,18Jun2024,564.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
75,565.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.6593423918921075,0.0,0.0,0.0,0.0,668.0,422.0,18Jun2024,565.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
76,568.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.7633074609598721,0.0,0.0,0.0,0.0,2083.0,6.0,18Jun2024,568.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
77,570.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.8315151972110099,0.0,0.0,0.0,0.0,2267.0,103.0,18Jun2024,570.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
78,572.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.8989312930616965,0.0,0.0,0.0,0.0,545.0,545.0,18Jun2024,572.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
79,574.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.9656170424074343,0.0,0.0,0.0,0.0,180.0,120.0,18Jun2024,574.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
80,575.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,0.9987023067524528,0.0,0.0,0.0,0.0,202.0,,18Jun2024,575.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
81,576.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,1.0316234485712197,0.0,0.0,0.0,0.0,93.0,3.0,18Jun2024,576.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
82,578.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,1.096993621409705,0.0,0.0,0.0,0.0,239.0,1.0,18Jun2024,578.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
83,580.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,1.161764488903701,0.0,0.0,0.0,0.0,228.0,219.0,18Jun2024,580.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
84,585.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,,0.0,0.01,1.0,1.0,,,1.3212700549683993,0.0,0.0,0.0,0.0,80.0,80.0,18Jun2024,585.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
