,root,expiry,strike,optiontype,mid_price,bid_size,bid_price,ask_size,ask_price,open_interest,mark_price,exchange_time,ttm,mat_id
4660,SPXW,2024-05-24,4660,C,0.0,1,634.9,1,653.0,1,643.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4660,SPXW,2024-05-24,4660,P,0.0,0,0.0,1049,0.05,779,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4670,SPXW,2024-05-24,4670,C,0.0,1,624.9,1,643.0,1,633.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4670,SPXW,2024-05-24,4670,P,0.0,0,0.0,1249,0.05,315,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4675,SPXW,2024-05-24,4675,C,0.0,1,619.9,1,638.0,1,628.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4675,SPXW,2024-05-24,4675,P,0.0,0,0.0,1149,0.05,2529,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4680,SPXW,2024-05-24,4680,C,0.0,1,614.9,1,633.0,1,623.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4680,SPXW,2024-05-24,4680,P,0.0,0,0.0,1049,0.05,509,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4690,SPXW,2024-05-24,4690,C,0.0,1,604.9,1,623.0,0,613.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4690,SPXW,2024-05-24,4690,P,0.0,0,0.0,1049,0.05,562,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4700,SPXW,2024-05-24,4700,C,0.0,1,594.9,1,613.0,11,603.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4700,SPXW,2024-05-24,4700,P,0.0,0,0.0,1069,0.05,5907,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4710,SPXW,2024-05-24,4710,C,0.0,1,584.9,1,603.0,4,593.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4710,SPXW,2024-05-24,4710,P,0.0,0,0.0,1049,0.05,441,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4720,SPXW,2024-05-24,4720,C,0.0,1,574.9,1,593.0,4,583.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4720,SPXW,2024-05-24,4720,P,0.0,0,0.0,1049,0.05,1026,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4725,SPXW,2024-05-24,4725,C,0.0,1,569.9,1,588.0,22,578.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4725,SPXW,2024-05-24,4725,P,0.0,0,0.0,949,0.05,1467,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4730,SPXW,2024-05-24,4730,C,0.0,1,564.9,1,583.0,0,573.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4730,SPXW,2024-05-24,4730,P,0.0,0,0.0,1124,0.05,721,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4735,SPXW,2024-05-24,4735,C,0.0,1,559.9,1,578.0,0,568.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4735,SPXW,2024-05-24,4735,P,0.0,0,0.0,1049,0.05,301,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4740,SPXW,2024-05-24,4740,C,0.0,1,554.9,1,573.0,5,563.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4740,SPXW,2024-05-24,4740,P,0.0,0,0.0,1049,0.05,637,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4745,SPXW,2024-05-24,4745,C,0.0,1,549.9,1,568.0,1,558.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4745,SPXW,2024-05-24,4745,P,0.0,0,0.0,1049,0.05,461,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4750,SPXW,2024-05-24,4750,C,0.0,1,544.9,40,560.0,87,552.45,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4750,SPXW,2024-05-24,4750,P,0.0,0,0.0,1219,0.05,2855,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4755,SPXW,2024-05-24,4755,C,0.0,1,539.9,40,555.0,0,547.45,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4755,SPXW,2024-05-24,4755,P,0.0,0,0.0,1050,0.05,427,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4760,SPXW,2024-05-24,4760,C,0.0,1,534.9,40,550.0,41,542.45,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4760,SPXW,2024-05-24,4760,P,0.0,0,0.0,1049,0.05,1109,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4765,SPXW,2024-05-24,4765,C,0.0,1,529.9,40,545.0,0,537.45,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4765,SPXW,2024-05-24,4765,P,0.0,0,0.0,1049,0.05,448,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4770,SPXW,2024-05-24,4770,C,0.0,1,524.9,40,539.8,7,532.3499999999999,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4770,SPXW,2024-05-24,4770,P,0.0,0,0.0,923,0.05,280,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4775,SPXW,2024-05-24,4775,C,0.0,1,519.9,40,534.8,41,527.3499999999999,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4775,SPXW,2024-05-24,4775,P,0.0,0,0.0,1049,0.05,1966,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4780,SPXW,2024-05-24,4780,C,0.0,1,514.9,40,529.8,47,522.3499999999999,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4780,SPXW,2024-05-24,4780,P,0.0,0,0.0,783,0.05,175,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4785,SPXW,2024-05-24,4785,C,0.0,1,509.9,40,524.8,0,517.3499999999999,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4785,SPXW,2024-05-24,4785,P,0.0,0,0.0,1149,0.05,357,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4790,SPXW,2024-05-24,4790,C,0.0,1,504.9,40,519.8,1,512.3499999999999,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4790,SPXW,2024-05-24,4790,P,0.0,0,0.0,824,0.05,282,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4795,SPXW,2024-05-24,4795,C,0.0,1,499.9,40,514.8,0,507.34999999999997,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4795,SPXW,2024-05-24,4795,P,0.0,0,0.0,923,0.05,252,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4800,SPXW,2024-05-24,4800,C,0.0,1,494.9,40,509.8,8,502.35,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4800,SPXW,2024-05-24,4800,P,0.0,0,0.0,2569,0.05,6512,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4805,SPXW,2024-05-24,4805,C,0.0,1,489.9,40,504.8,0,497.35,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4805,SPXW,2024-05-24,4805,P,0.0,0,0.0,1048,0.05,403,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4810,SPXW,2024-05-24,4810,C,0.0,1,484.9,40,499.8,2,492.35,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4810,SPXW,2024-05-24,4810,P,0.0,0,0.0,823,0.05,696,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4815,SPXW,2024-05-24,4815,C,0.0,1,479.9,40,494.8,0,487.35,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4815,SPXW,2024-05-24,4815,P,0.0,0,0.0,1049,0.05,762,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4820,SPXW,2024-05-24,4820,C,0.0,1,474.9,40,489.8,0,482.35,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4820,SPXW,2024-05-24,4820,P,0.0,0,0.0,823,0.05,278,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4825,SPXW,2024-05-24,4825,C,0.0,1,469.9,40,484.8,38,477.35,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4825,SPXW,2024-05-24,4825,P,0.0,0,0.0,2299,0.05,1880,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4830,SPXW,2024-05-24,4830,C,0.0,1,464.9,40,479.8,1,472.35,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4830,SPXW,2024-05-24,4830,P,0.0,0,0.0,1149,0.05,369,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4835,SPXW,2024-05-24,4835,C,0.0,1,459.9,40,474.8,0,467.35,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4835,SPXW,2024-05-24,4835,P,0.0,0,0.0,823,0.05,131,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4840,SPXW,2024-05-24,4840,C,0.0,1,454.9,40,469.8,2,462.35,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4840,SPXW,2024-05-24,4840,P,0.0,0,0.0,1049,0.05,318,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4845,SPXW,2024-05-24,4845,C,0.0,1,449.9,40,465.1,0,457.5,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4845,SPXW,2024-05-24,4845,P,0.0,0,0.0,2049,0.05,1090,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4850,SPXW,2024-05-24,4850,C,0.0,1,444.9,40,460.1,30,452.5,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4850,SPXW,2024-05-24,4850,P,0.0,0,0.0,2065,0.05,1788,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4855,SPXW,2024-05-24,4855,C,0.0,1,439.9,40,455.1,0,447.5,2024-05-24 16:00:00,0.00045662100456621003,24May2024
